Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Nasir, Nabeel; Palani, Kartik; Chugh, Amandeep; Prakash, Vivek Chil; Arote, Uddhav; Krishnan, Anand P; Ramamritham, Krithi; ",Fusing sensors for occupancy sensing in smart buildings,International Conference on Distributed Computing and Internet Technology,,,73-92,2015,Springer International Publishing Cham
"Chil Prakash, Vivek; Prakash, Anand Krishnan; Arote, Uddhav; Munigala, Vitobha; Ramamritham, Krithi; ",Demo abstract: Demonstration of using sensor fusion for constructing a cost-effective smart-door,Proceedings of the 2015 ACM Sixth International Conference on Future Energy Systems,,,191-192,2015,
"Prakash, Anand Krishnan; Chil Prakash, Vivek; Doshi, Bhavin; Arote, Uddhav; Sahu, Pallab Kumar; Ramamritham, Krithi; ",Locating and sizing smart meter deployment in buildings,Proceedings of the 2015 ACM Sixth International Conference on Future Energy Systems,,,223-224,2015,
"Prakash, Anand Krishnan; Xu, Susu; Rajagopal, Ram; Noh, Hae Young; ",Robust building energy load forecasting using physically-based kernel models,Energies,11,4,862,2018,MDPI
"Munir, Sirajum; Tran, Le; Francis, Jonathan; Shelton, Charles; Arora, Ripudaman Singh; Hesling, Craig; Quintana, Matias; Prakash, Anand Krishnan; Rowe, Anthony; Berges, Mario; ",FORK: Fine grained Occupancy estimatoR using Kinect on ARM embedded platforms,Proceedings of the 4th ACM International Conference on Systems for Energy-Efficient Built Environments,,,1-2,2017,
"Stamoulis, Dimitrios; Chin, Ting-Wu; Prakash, Anand Krishnan; Fang, Haocheng; Sajja, Sribhuvan; Bognar, Mitchell; Marculescu, Diana; ",Designing adaptive neural networks for energy-constrained image classification,Proceedings of the international conference on computer-aided design,,,1-8,2018,
"Flores, Fabricio; Munir, Sirajum; Quintana, Matias; Prakash, Anand Krishnan; Bergés, Mario; ","Dataset: Occupancy detection, tracking, and estimation using a vertically mounted depth sensor",Proceedings of the 2nd Workshop on Data Acquisition To Analysis,,,7-9,2019,
"Pritoni, Marco; Prakash, Anand Krishnan; ",guideline36_conformance_test 0.1,US Department of Energy (DOE) Software,,,124,2019,
"Piette, Mary Ann; Singh, Reshma; Prakash, Anand Krishnan; ",Evaluation of the Need for and Design of a City Energy Operations System,"Urbsys'19: 1st ACM International Workshop on Urban Building Energy Sensing, Controls, Big Data Analysis, and Visualization",,,97-100,2019,
"Fierro, Gabe; Pritoni, Marco; AbdelBaky, Moustafa; Lengyel, Daniel; Leyden, John; Prakash, Anand; Gupta, Pranav; Raftery, Paul; Peffer, Therese; Thomson, Greg; ",Mortar: an open testbed for portable building analytics,ACM Transactions on Sensor Networks (TOSN),16,1,1-31,2019,"ACM New York, NY, USA"
"Brown, Richard; Schwartz, Peter; Nordman, Bruce; Shackelford, Jordan; Khandekar, Aditya; Jackson, Neal; Prakash, Anand; Ghosh, Srijit; Page, Erik; ","Developing flexible, networked lighting control systems that reliably save energy in california buildings",,,,,2020,
"Krishnan Prakash, Anand; Zhang, Kun; Gupta, Pranav; Blum, David; Marshall, Marc; Fierro, Gabe; Alstone, Peter; Zoellick, James; Brown, Richard; Pritoni, Marco; ",Solar+ optimizer: A model predictive control optimization platform for grid responsive building microgrids,Energies,13,12,3093,2020,MDPI
"Prakash, Anand; Pritoni, Marco; ",Counting Occupants Using Network Technology (COUNT) v0. 1,US Department of Energy (DOE) Software,,,64,2020,
"Singh, Reshma; Chen, Grant; ","A Community Energy Operations and Planning System: Concept, Use cases, Metrics, and Benefits",,,,,2020,
"Fierro, Gabe; Prakash, Anand Krishnan; Mosiman, Cory; Pritoni, Marco; Raftery, Paul; Wetter, Michael; Culler, David E; ",Interactive metadata integration with brick,"PROCEEDINGS OF THE 7TH ACM INTERNATIONAL CONFERENCE ON SYSTEMS FOR ENERGY-EFFICIENT BUILDINGS, CITIES, AND TRANSPORTATION, BUILDSYS 2020",,,344-345,2020,
"Prakash, Anand Krishnan; Touzani, Samir; Kiran, Mariam; Agarwal, Shreya; Pritoni, Marco; Granderson, Jessica; ",Deep reinforcement learning in buildings: Implicit assumptions and their impact,Proceedings of the 1st International Workshop on Reinforcement Learning for Energy Management in Buildings & Cities,,,48-51,2020,
"Fierro, Gabe; Prakash, Anand Krishnan; Mosiman, Cory; Pritoni, Marco; Raftery, Paul; Wetter, Michael; Culler, David E; ",Shepherding metadata through the building lifecycle,"Proceedings of the 7th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,70-79,2020,
"Wetter, Michael; Ehrlich, Paul; Gautier, Antoine; Grahovac, Milica; Haves, Philip; Hu, Jianjun; Prakash, Anand; Robin, Dave; Zhang, Kun; ","OpenBuildingControl: Digitizing the control delivery from building energy modeling to specification, implementation and formal verification",Energy,238,,121501,2022,Pergamon
"Touzani, Samir; Prakash, Anand Krishnan; Wang, Zhe; Agarwal, Shreya; Pritoni, Marco; Kiran, Mariam; Brown, Richard; Granderson, Jessica; ",Controlling distributed energy resources via deep reinforcement learning for load flexibility and energy efficiency,Applied Energy,304,,117733,2021,Elsevier
"Wetter, Michael; Hu, Jianjun; Prakash, Anand; Ehrlich, Paul; Fierro, Gabe; Grahovac, Milica; Pritoni, Marco; Rivalin, Lisa; Robin, Dave; ","Modelica-json: Transforming energy models to digitize the control delivery process Michael Wetter1, Jianjun Hu1, Anand Prakash1, Paul Ehrlich2, Gabe Fierro3, Milica Grahovac1, Marco Pritoni1, Lisa Rivalin4, Dave Robin5 1Lawrence Berkeley National Laboratory, Berkeley, CA",,,,,,
"Bennani, Imane Lahmam; Prakash, Anand Krishnan; Zafiris, Marina; Paul, Lazlo; Roa, Carlos Duarte; Raftery, Paul; Pritoni, Marco; Fierro, Gabe; ",Query relaxation for portable brick-based applications,"Proceedings of the 8th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,150-159,2021,
"Touzani, Samir; Granderson, Jessica; Pritoni, Marco; Kiran, Mariam; Krishnan Prakash, Anand; Wang, Zhe; Agarwal, Shreya; ",FlexDRL v1. 0,US Department of Energy (DOE) Software,,,25,2021,
"Pritoni, Marco; Clark, Callie; Prakash, Anand; Kloss, Margarita; Gupta, Pranav; Nordman, Bruce; Piette, Mary Ann; ",Harvesting the low-hanging fruit of high energy savings--Virtual Occupancy using Wi-Fi Data,,,,,2020,"Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)"
